Province,Division,District,Indicator,Area Type,Total,Male,Female
Balochistan,Zhob Division,Killah Saifullah,Industry Employee (%),Rural,18.9,19.5,-
Balochistan,Zhob Division,Killah Saifullah,Industry Employee (%),Urban,16.8,17.9,-
Balochistan,Zhob Division,Killah Saifullah,Services Employee (%),Rural,15.6,15.7,12.1
Balochistan,Zhob Division,Killah Saifullah,Services Employee (%),Urban,75.7,74.2,100
Balochistan,Zhob Division,Killah Saifullah,Formal Activity (%),Rural,30.7,29.9,100
Balochistan,Zhob Division,Killah Saifullah,Formal Activity (%),Urban,48.2,44.6,100
Balochistan,Zhob Division,Killah Saifullah,Informal Activity (%),Rural,69.3,70.1,-
Balochistan,Zhob Division,Killah Saifullah,Informal Activity (%),Urban,51.8,55.4,-
Balochistan,Zhob Division,Killah Saifullah,Employers (%),All Areas,0.6,0.7,-
Balochistan,Zhob Division,Killah Saifullah,Own Account Workers (%),All Areas,43.8,45.4,-
Balochistan,Zhob Division,Killah Saifullah,Contributing Family  Workers (%),All Areas,22.2,20.5,65.4
Balochistan,Zhob Division,Killah Saifullah,Employees (%),All Areas,33.4,33.4,34.6
Balochistan,Zhob Division,Killah Saifullah,Literacy Rate (%),Rural,45.6,66.6,16.9
Balochistan,Zhob Division,Killah Saifullah,Literacy Rate (%),Urban,78,87.8,66.2
Balochistan,Zhob Division,Killah Saifullah,Underemployment Rate (%),Rural,0.4,0.4,-
Balochistan,Zhob Division,Killah Saifullah,Underemployment Rate (%),Urban,4.1,4.3,-
Balochistan,Zhob Division,Killah Saifullah,Mean Hours Work/Per Week,Rural,51.9,52.2,42.5
Balochistan,Zhob Division,Killah Saifullah,Mean Hours Work/Per Week,Urban,49.4,50.5,31.3
Balochistan,Zhob Division,Musakhel,Working Age Population,Rural,98000,55000,43000
Balochistan,Zhob Division,Musakhel,Working Age Population,Urban,9000,5000,4000
Balochistan,Zhob Division,Musakhel,Labour Force,Rural,45300,38600,6700
Balochistan,Zhob Division,Musakhel,Labour Force,Urban,3600,3300,300
Balochistan,Zhob Division,Musakhel,Employed,Rural,41000,34500,6500
Balochistan,Zhob Division,Musakhel,Employed,Urban,3200,3000,300
Balochistan,Zhob Division,Musakhel,Unemployed,Rural,4300,4100,200
Balochistan,Zhob Division,Musakhel,Unemployed,Urban,400,400,-
Balochistan,Zhob Division,Musakhel,Refined Participation Rate (%),Rural,46.2,69.7,15.6
Balochistan,Zhob Division,Musakhel,Refined Participation Rate (%),Urban,40.9,72.7,6.1
Balochistan,Zhob Division,Musakhel,Unemployment Rate (%),Rural,9.5,10.7,2.5
Balochistan,Zhob Division,Musakhel,Unemployment Rate (%),Urban,10.3,11.1,-
Balochistan,Zhob Division,Musakhel,Employment to Population Ratio (%),Rural,41.8,62.2,15.2
Balochistan,Zhob Division,Musakhel,Employment to Population Ratio (%),Urban,36.7,64.6,6.1
Balochistan,Zhob Division,Musakhel,Agriculture Employee (%),Rural,70.2,65.5,95.1
Balochistan,Zhob Division,Musakhel,Agriculture Employee (%),Urban,23,19.4,64.8
Balochistan,Zhob Division,Musakhel,Industry Employee (%),Rural,7.9,9.1,1.5
Balochistan,Zhob Division,Musakhel,Industry Employee (%),Urban,18.2,16.8,35.2
Balochistan,Zhob Division,Musakhel,Services Employee (%),Rural,21.9,25.4,3.4
Balochistan,Zhob Division,Musakhel,Services Employee (%),Urban,58.8,63.8,-
Balochistan,Zhob Division,Musakhel,Formal Activity (%),Rural,45.8,45.2,69.9
Balochistan,Zhob Division,Musakhel,Formal Activity (%),Urban,59,61.3,-
Balochistan,Zhob Division,Musakhel,Informal Activity (%),Rural,54.2,54.8,30.1
Balochistan,Zhob Division,Musakhel,Informal Activity (%),Urban,41,38.7,100
Balochistan,Zhob Division,Musakhel,Employers (%),All Areas,-,-,-
Balochistan,Zhob Division,Musakhel,Own Account Workers (%),All Areas,39.2,46.1,1
Balochistan,Zhob Division,Musakhel,Contributing Family  Workers (%),All Areas,34,23.4,93
Balochistan,Zhob Division,Musakhel,Employees (%),All Areas,26.7,30.5,6
Balochistan,Zhob Division,Musakhel,Literacy Rate (%),Rural,61.5,72.3,47.4
Balochistan,Zhob Division,Musakhel,Literacy Rate (%),Urban,71,83.5,57.3
Balochistan,Zhob Division,Musakhel,Underemployment Rate (%),Rural,-,-,-
Balochistan,Zhob Division,Musakhel,Underemployment Rate (%),Urban,-,-,-
Balochistan,Zhob Division,Musakhel,Mean Hours Work/Per Week,Rural,52.3,54.6,40
Balochistan,Zhob Division,Musakhel,Mean Hours Work/Per Week,Urban,48.5,49.2,40.7
Balochistan,Zhob Division,Musakhel,Total Population,Rural,153108,83292,69805
Balochistan,Zhob Division,Musakhel,Total Population,Urban,14135,7441,6693
Balochistan,Zhob Division,Sherani,Working Age Population,Rural,91000,45000,46000
Balochistan,Zhob Division,Sherani,Working Age Population,Urban,-,-,-
Balochistan,Zhob Division,Sherani,Labour Force,Rural,38500,37200,1300
Balochistan,Zhob Division,Sherani,Labour Force,Urban,-,-,-
Balochistan,Zhob Division,Sherani,Employed,Rural,35800,34500,1300
Balochistan,Zhob Division,Sherani,Employed,Urban,-,-,-
Balochistan,Zhob Division,Sherani,Unemployed,Rural,2800,2700,100
Balochistan,Zhob Division,Sherani,Unemployed,Urban,-,-,-
Balochistan,Zhob Division,Sherani,Refined Participation Rate (%),Rural,42.3,81.8,2.9
Balochistan,Zhob Division,Sherani,Refined Participation Rate (%),Urban,-,-,-
Balochistan,Zhob Division,Sherani,Unemployment Rate (%),Rural,7.2,7.3,4.4
Balochistan,Zhob Division,Sherani,Unemployment Rate (%),Urban,-,-,-
Balochistan,Zhob Division,Sherani,Employment to Population Ratio (%),Rural,39.2,75.9,2.8
Balochistan,Zhob Division,Sherani,Employment to Population Ratio (%),Urban,-,-,-
Balochistan,Zhob Division,Sherani,Agriculture Employee (%),Rural,49.8,48.9,74.6
Balochistan,Zhob Division,Sherani,Agriculture Employee (%),Urban,-,-,-
Balochistan,Zhob Division,Sherani,Industry Employee (%),Rural,19.8,20.4,3.3
Balochistan,Zhob Division,Sherani,Industry Employee (%),Urban,-,-,-
Balochistan,Zhob Division,Sherani,Services Employee (%),Rural,30.4,30.7,22.1
Balochistan,Zhob Division,Sherani,Services Employee (%),Urban,-,-,-
Balochistan,Zhob Division,Sherani,Formal Activity (%),Rural,31.7,31.7,32.3
Balochistan,Zhob Division,Sherani,Formal Activity (%),Urban,-,-,-
Balochistan,Zhob Division,Sherani,Informal Activity (%),Rural,68.3,68.3,68
Balochistan,Zhob Division,Sherani,Informal Activity (%),Urban,-,-,-
Balochistan,Zhob Division,Sherani,Employers (%),All Areas,0.2,0.3,-
Balochistan,Zhob Division,Sherani,Own Account Workers (%),All Areas,46.1,47.8,-
Balochistan,Zhob Division,Sherani,Contributing Family  Workers (%),All Areas,15.8,13.6,74.6
Balochistan,Zhob Division,Sherani,Employees (%),All Areas,37.9,38.4,25.4
Balochistan,Zhob Division,Sherani,Literacy Rate (%),Rural,21.4,37.8,5
Balochistan,Zhob Division,Sherani,Literacy Rate (%),Urban,-,-,-
Balochistan,Zhob Division,Sherani,Underemployment Rate (%),Rural,-,-,-
Balochistan,Zhob Division,Sherani,Underemployment Rate (%),Urban,-,-,-
Balochistan,Zhob Division,Sherani,Mean Hours Work/Per Week,Rural,48.7,48.9,45.7
Balochistan,Zhob Division,Sherani,Mean Hours Work/Per Week,Urban,-,-,-
Balochistan,Zhob Division,Sherani,Total Population,Rural,152952,84390,68561
Balochistan,Zhob Division,Sherani,Total Population,Urban,-,-,-
Balochistan,Zhob Division,Zhob,Working Age Population,Rural,181000,97000,84000
Balochistan,Zhob Division,Zhob,Working Age Population,Urban,33000,19000,15000
Balochistan,Zhob Division,Zhob,Labour Force,Rural,72700,68700,4000
Balochistan,Zhob Division,Zhob,Labour Force,Urban,13100,12400,700
Balochistan,Zhob Division,Zhob,Employed,Rural,69100,65500,3600
Balochistan,Zhob Division,Zhob,Employed,Urban,11700,11000,700
Balochistan,Zhob Division,Zhob,Unemployed,Rural,3600,3200,400
Balochistan,Zhob Division,Zhob,Unemployed,Urban,1500,1500,-
Balochistan,Zhob Division,Zhob,Refined Participation Rate (%),Rural,40.1,70.8,4.8
Balochistan,Zhob Division,Zhob,Refined Participation Rate (%),Urban,39.3,67,4.7
Balochistan,Zhob Division,Zhob,Unemployment Rate (%),Rural,5,4.6,10.9
Balochistan,Zhob Division,Zhob,Unemployment Rate (%),Urban,11.2,11.9,-
Balochistan,Zhob Division,Zhob,Employment to Population Ratio (%),Rural,38.1,67.6,4.3
Balochistan,Zhob Division,Zhob,Employment to Population Ratio (%),Urban,34.9,59,4.7
Balochistan,Zhob Division,Zhob,Agriculture Employee (%),Rural,39.4,37.1,81.5
Balochistan,Zhob Division,Zhob,Agriculture Employee (%),Urban,1,1.1,-
Balochistan,Zhob Division,Zhob,Industry Employee (%),Rural,26.5,27.8,2
Balochistan,Zhob Division,Zhob,Industry Employee (%),Urban,22.1,23.5,-
Balochistan,Zhob Division,Zhob,Services Employee (%),Rural,34.1,35.1,16.5
Balochistan,Zhob Division,Zhob,Services Employee (%),Urban,76.8,75.4,100
Balochistan,Zhob Division,Zhob,Formal Activity (%),Rural,18.9,18,78.3
Balochistan,Zhob Division,Zhob,Formal Activity (%),Urban,47.7,44.3,100
Balochistan,Zhob Division,Zhob,Informal Activity (%),Rural,81.1,82,21.6
Balochistan,Zhob Division,Zhob,Informal Activity (%),Urban,52.3,55.7,-
Balochistan,Zhob Division,Zhob,Employers (%),All Areas,0.8,0.9,-
Balochistan,Zhob Division,Zhob,Own Account Workers (%),All Areas,42.2,43.7,15.7
Balochistan,Zhob Division,Zhob,Contributing Family  Workers (%),All Areas,10.7,8.2,54.1
Balochistan,Zhob Division,Zhob,Employees (%),All Areas,46.3,47.2,30.2
Balochistan,Zhob Division,Zhob,Literacy Rate (%),Rural,54,69.2,36.5
Balochistan,Zhob Division,Zhob,Literacy Rate (%),Urban,72.7,83.6,59.1
Balochistan,Zhob Division,Zhob,Underemployment Rate (%),Rural,1.1,1.1,1
Balochistan,Zhob Division,Zhob,Underemployment Rate (%),Urban,-,-,-
Balochistan,Zhob Division,Zhob,Mean Hours Work/Per Week,Rural,54.4,55.1,41.3
Balochistan,Zhob Division,Zhob,Mean Hours Work/Per Week,Urban,53.8,55,35.8
Balochistan,Zhob Division,Zhob,Total Population,Rural,264190,142764,121425
Balochistan,Zhob Division,Zhob,Total Population,Urban,46164,25475,20689
KPK,Bannu Division,Bannu,Working Age Population,Rural,829000,434000,396000
KPK,Bannu Division,Bannu,Working Age Population,Urban,32000,17000,15000
KPK,Bannu Division,Bannu,Labour Force,Rural,348200,282100,66100
KPK,Bannu Division,Bannu,Labour Force,Urban,10200,9500,700
KPK,Bannu Division,Bannu,Employed,Rural,311700,260400,51300
KPK,Bannu Division,Bannu,Employed,Urban,9500,8800,700
KPK,Bannu Division,Bannu,Unemployed,Rural,36500,21700,14800
KPK,Bannu Division,Bannu,Unemployed,Urban,700,700,100
KPK,Bannu Division,Bannu,Refined Participation Rate (%),Rural,42,65,16.7
KPK,Bannu Division,Bannu,Refined Participation Rate (%),Urban,32.3,57.4,4.9
KPK,Bannu Division,Bannu,Unemployment Rate (%),Rural,10.5,7.7,22.3
KPK,Bannu Division,Bannu,Unemployment Rate (%),Urban,7.2,7,9.8
KPK,Bannu Division,Bannu,Employment to Population Ratio (%),Rural,37.6,60,13
KPK,Bannu Division,Bannu,Employment to Population Ratio (%),Urban,30,53.3,4.4
KPK,Bannu Division,Bannu,Agriculture Employee (%),Rural,33.4,23.9,81.5
KPK,Bannu Division,Bannu,Agriculture Employee (%),Urban,-,-,-
KPK,Bannu Division,Bannu,Industry Employee (%),Rural,26.1,29.8,7
KPK,Bannu Division,Bannu,Industry Employee (%),Urban,25.3,27.2,-
KPK,Bannu Division,Bannu,Services Employee (%),Rural,40.5,46.2,11.4
KPK,Bannu Division,Bannu,Services Employee (%),Urban,74.7,72.8,100
KPK,Bannu Division,Bannu,Formal Activity (%),Rural,23.5,22.6,40.6
KPK,Bannu Division,Bannu,Formal Activity (%),Urban,34.3,30,90.3
KPK,Bannu Division,Bannu,Informal Activity (%),Rural,76.5,77.4,59.4
KPK,Bannu Division,Bannu,Informal Activity (%),Urban,65.7,70,9.7
KPK,Bannu Division,Bannu,Employers (%),All Areas,2.3,2.4,1.5
KPK,Bannu Division,Bannu,Own Account Workers (%),All Areas,45.8,46.7,40.9
KPK,Bannu Division,Bannu,Contributing Family  Workers (%),All Areas,15.8,9.5,48.3
KPK,Bannu Division,Bannu,Employees (%),All Areas,36.2,41.3,9.3
KPK,Bannu Division,Bannu,Literacy Rate (%),Rural,52.2,74.4,27.8
KPK,Bannu Division,Bannu,Literacy Rate (%),Urban,79.4,86.3,71.9
KPK,Bannu Division,Bannu,Underemployment Rate (%),Rural,1.5,1.7,0.6
KPK,Bannu Division,Bannu,Underemployment Rate (%),Urban,7.9,6.2,29.9
KPK,Bannu Division,Bannu,Mean Hours Work/Per Week,Rural,46.5,49.9,29.5
KPK,Bannu Division,Bannu,Mean Hours Work/Per Week,Urban,48.9,49.7,38.5
KPK,Bannu Division,Bannu,Total Population,Rural,1160235,587283,572929
KPK,Bannu Division,Bannu,Total Population,Urban,49948,27628,22319
KPK,Bannu Division,Lakki Marwat,Working Age Population,Rural,583000,290000,294000
KPK,Bannu Division,Lakki Marwat,Working Age Population,Urban,45000,23000,22000
KPK,Bannu Division,Lakki Marwat,Labour Force,Rural,203000,167200,35800
KPK,Bannu Division,Lakki Marwat,Labour Force,Urban,16400,13700,2700
KPK,Bannu Division,Lakki Marwat,Employed,Rural,184100,152300,31800
KPK,Bannu Division,Lakki Marwat,Employed,Urban,14200,12800,1400
KPK,Bannu Division,Lakki Marwat,Unemployed,Rural,18900,14900,4000
KPK,Bannu Division,Lakki Marwat,Unemployed,Urban,2100,800,1300
KPK,Bannu Division,Lakki Marwat,Refined Participation Rate (%),Rural,34.8,57.7,12.2
KPK,Bannu Division,Lakki Marwat,Refined Participation Rate (%),Urban,36.1,58.7,12.3
KPK,Bannu Division,Lakki Marwat,Unemployment Rate (%),Rural,9.3,8.9,11.3
KPK,Bannu Division,Lakki Marwat,Unemployment Rate (%),Urban,13.1,6.1,48.2
KPK,Bannu Division,Lakki Marwat,Employment to Population Ratio (%),Rural,31.6,52.5,10.8
KPK,Bannu Division,Lakki Marwat,Employment to Population Ratio (%),Urban,31.4,55.1,6.4
KPK,Bannu Division,Lakki Marwat,Agriculture Employee (%),Rural,41.4,32.8,82.6
KPK,Bannu Division,Lakki Marwat,Agriculture Employee (%),Urban,6.1,3.8,27.3
KPK,Bannu Division,Lakki Marwat,Industry Employee (%),Rural,26.1,28.6,14.1
KPK,Bannu Division,Lakki Marwat,Industry Employee (%),Urban,30.7,32.9,10.7
KPK,Bannu Division,Lakki Marwat,Services Employee (%),Rural,32.6,38.7,3.4
KPK,Bannu Division,Lakki Marwat,Services Employee (%),Urban,63.2,63.3,62
KPK,Bannu Division,Lakki Marwat,Formal Activity (%),Rural,29.1,29.6,19.3
KPK,Bannu Division,Lakki Marwat,Formal Activity (%),Urban,24.7,20.5,74.8
KPK,Bannu Division,Lakki Marwat,Informal Activity (%),Rural,70.9,70.4,80.7
KPK,Bannu Division,Lakki Marwat,Informal Activity (%),Urban,75.3,79.5,25.2
KPK,Bannu Division,Lakki Marwat,Employers (%),All Areas,0.8,1,-
KPK,Bannu Division,Lakki Marwat,Own Account Workers (%),All Areas,36.6,39.4,23.1
KPK,Bannu Division,Lakki Marwat,Contributing Family  Workers (%),All Areas,21.3,11.8,69
KPK,Bannu Division,Lakki Marwat,Employees (%),All Areas,41.2,47.9,7.9
KPK,Bannu Division,Lakki Marwat,Literacy Rate (%),Rural,55.6,84,27.5
KPK,Bannu Division,Lakki Marwat,Literacy Rate (%),Urban,81.6,95,67.4
KPK,Bannu Division,Lakki Marwat,Underemployment Rate (%),Rural,8.3,8.6,6.7
KPK,Bannu Division,Lakki Marwat,Underemployment Rate (%),Urban,6.2,5.7,10.7
KPK,Bannu Division,Lakki Marwat,Mean Hours Work/Per Week,Rural,45.9,49.9,26.5
KPK,Bannu Division,Lakki Marwat,Mean Hours Work/Per Week,Urban,51.1,53.2,32.3
KPK,Bannu Division,Lakki Marwat,Total Population,Rural,812886,409637,403245
KPK,Bannu Division,Lakki Marwat,Total Population,Urban,89252,45765,43487
KPK,Bannu Division,North Waziristan,Working Age Population,Rural,364000,175000,189000
KPK,Bannu Division,North Waziristan,Working Age Population,Urban,1000,1000,-
KPK,Bannu Division,North Waziristan,Labour Force,Rural,188300,107700,80500
KPK,Bannu Division,North Waziristan,Labour Force,Urban,400,300,-
KPK,Bannu Division,North Waziristan,Employed,Rural,182400,104200,78200
KPK,Bannu Division,North Waziristan,Employed,Urban,300,300,100
KPK,Bannu Division,North Waziristan,Unemployed,Rural,5900,3600,2300
KPK,Bannu Division,North Waziristan,Unemployed,Urban,-,-,-
KPK,Bannu Division,North Waziristan,Refined Participation Rate (%),Rural,51.7,61.5,42.6
KPK,Bannu Division,North Waziristan,Refined Participation Rate (%),Urban,37.2,67.3,6.3
KPK,Bannu Division,North Waziristan,Unemployment Rate (%),Rural,3.1,3.3,2.9
KPK,Bannu Division,North Waziristan,Unemployment Rate (%),Urban,4.8,5.3,-
KPK,Bannu Division,North Waziristan,Employment to Population Ratio (%),Rural,50.1,59.4,41.4
KPK,Bannu Division,North Waziristan,Employment to Population Ratio (%),Urban,35.4,63.7,6.3
KPK,Bannu Division,North Waziristan,Agriculture Employee (%),Rural,53.9,26.1,90.9
KPK,Bannu Division,North Waziristan,Agriculture Employee (%),Urban,-,-,-
KPK,Bannu Division,North Waziristan,Industry Employee (%),Rural,15.4,22.1,6.6
KPK,Bannu Division,North Waziristan,Industry Employee (%),Urban,30.4,30.1,33.3
KPK,Bannu Division,North Waziristan,Services Employee (%),Rural,30.7,51.8,2.6
KPK,Bannu Division,North Waziristan,Services Employee (%),Urban,69.6,69.9,66.7
KPK,Bannu Division,North Waziristan,Formal Activity (%),Rural,15.4,14.2,28
KPK,Bannu Division,North Waziristan,Formal Activity (%),Urban,51,49.6,66.7
KPK,Bannu Division,North Waziristan,Informal Activity (%),Rural,84.6,85.8,72
KPK,Bannu Division,North Waziristan,Informal Activity (%),Urban,49,50.7,33.3
KPK,Bannu Division,North Waziristan,Employers (%),All Areas,0.9,1.7,-
KPK,Bannu Division,North Waziristan,Own Account Workers (%),All Areas,37.4,41.4,31.9
KPK,Bannu Division,North Waziristan,Contributing Family  Workers (%),All Areas,35.3,16.9,59.9
KPK,Bannu Division,North Waziristan,Employees (%),All Areas,26.4,40,8.2
KPK,Bannu Division,North Waziristan,Literacy Rate (%),Rural,45,76.4,15.8
KPK,Bannu Division,North Waziristan,Literacy Rate (%),Urban,67,84,49.6
KPK,Bannu Division,North Waziristan,Underemployment Rate (%),Rural,-,-,-
KPK,Bannu Division,North Waziristan,Underemployment Rate (%),Urban,-,-,-
KPK,Bannu Division,North Waziristan,Mean Hours Work/Per Week,Rural,42.3,57.9,21.6
KPK,Bannu Division,North Waziristan,Mean Hours Work/Per Week,Urban,52.2,53.6,37.3
KPK,Bannu Division,North Waziristan,Total Population,Rural,536182,274482,261667
KPK,Bannu Division,North Waziristan,Total Population,Urban,4364,3267,1097
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Working Age Population,Rural,1036000,557000,479000
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Working Age Population,Urban,293000,160000,132000
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Labour Force,Rural,437500,389200,48300
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Labour Force,Urban,112800,105500,7400
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Employed,Rural,421000,374000,47000
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Employed,Urban,108300,100900,7400
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Unemployed,Rural,16500,15200,1300
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Unemployed,Urban,4600,4600,-
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Refined Participation Rate (%),Rural,42.2,69.8,10.1
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Refined Participation Rate (%),Urban,38.5,65.7,5.6
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Unemployment Rate (%),Rural,3.8,3.9,2.6
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Unemployment Rate (%),Urban,4.1,4.3,-
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Employment to Population Ratio (%),Rural,40.6,67.1,9.8
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Employment to Population Ratio (%),Urban,37,62.9,5.6
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Agriculture Employee (%),Rural,38.2,35.4,60.4
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Agriculture Employee (%),Urban,8.8,8.7,9.5
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Industry Employee (%),Rural,30.9,32.1,21.4
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Industry Employee (%),Urban,31.4,32.6,15.4
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Services Employee (%),Rural,30.9,32.5,18.2
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Services Employee (%),Urban,59.8,58.7,75.1
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Formal Activity (%),Rural,25.4,24.6,35.1
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Formal Activity (%),Urban,41.7,38.8,83
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Informal Activity (%),Rural,74.6,75.4,64.9
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Informal Activity (%),Urban,58.3,61.2,17
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Employers (%),All Areas,1,1.1,-
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Own Account Workers (%),All Areas,32.3,33.7,19.9
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Contributing Family  Workers (%),All Areas,14.9,12,39.5
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Employees (%),All Areas,51.9,53.2,40.6
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Literacy Rate (%),Rural,39.5,54.8,21.8
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Literacy Rate (%),Urban,65.2,77.1,50.7
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Underemployment Rate (%),Rural,3.4,2.9,7.5
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Underemployment Rate (%),Urban,6.9,7.4,-
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Mean Hours Work/Per Week,Rural,43.4,45.7,25.2
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Mean Hours Work/Per Week,Urban,44.1,45.1,31.1
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Total Population,Rural,1264870,649892,614919
KPK,Dera Ismail Khan Division,Dera Ismail Khan,Total Population,Urban,360218,187793,172382
KPK,Dera Ismail Khan Division,South Waziristan,Working Age Population,Rural,468000,245000,223000
KPK,Dera Ismail Khan Division,South Waziristan,Working Age Population,Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Labour Force,Rural,152600,142400,10200
KPK,Dera Ismail Khan Division,South Waziristan,Labour Force,Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Employed,Rural,144700,139400,5300
KPK,Dera Ismail Khan Division,South Waziristan,Employed,Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Unemployed,Rural,7900,2900,4900
KPK,Dera Ismail Khan Division,South Waziristan,Unemployed,Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Refined Participation Rate (%),Rural,32.6,58.1,4.6
KPK,Dera Ismail Khan Division,South Waziristan,Refined Participation Rate (%),Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Unemployment Rate (%),Rural,5.2,2.1,48.3
KPK,Dera Ismail Khan Division,South Waziristan,Unemployment Rate (%),Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Employment to Population Ratio (%),Rural,30.9,56.9,2.4
KPK,Dera Ismail Khan Division,South Waziristan,Employment to Population Ratio (%),Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Agriculture Employee (%),Rural,20.3,18.8,60.2
KPK,Dera Ismail Khan Division,South Waziristan,Agriculture Employee (%),Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Industry Employee (%),Rural,27.4,27.9,14
KPK,Dera Ismail Khan Division,South Waziristan,Industry Employee (%),Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Services Employee (%),Rural,52.3,53.3,25.7
KPK,Dera Ismail Khan Division,South Waziristan,Services Employee (%),Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Formal Activity (%),Rural,20.9,20.1,64.7
KPK,Dera Ismail Khan Division,South Waziristan,Formal Activity (%),Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Informal Activity (%),Rural,79.1,79.9,35.3
KPK,Dera Ismail Khan Division,South Waziristan,Informal Activity (%),Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Employers (%),All Areas,1,1,-
KPK,Dera Ismail Khan Division,South Waziristan,Own Account Workers (%),All Areas,33.6,34.8,4
KPK,Dera Ismail Khan Division,South Waziristan,Contributing Family  Workers (%),All Areas,10.1,8.4,56.2
KPK,Dera Ismail Khan Division,South Waziristan,Employees (%),All Areas,55.3,55.9,39.8
KPK,Dera Ismail Khan Division,South Waziristan,Literacy Rate (%),Rural,42.5,65.7,17.1
KPK,Dera Ismail Khan Division,South Waziristan,Literacy Rate (%),Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Underemployment Rate (%),Rural,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Underemployment Rate (%),Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Mean Hours Work/Per Week,Rural,48.5,49.1,33.4
KPK,Dera Ismail Khan Division,South Waziristan,Mean Hours Work/Per Week,Urban,-,-,-
KPK,Dera Ismail Khan Division,South Waziristan,Total Population,Rural,675215,355611,319554
KPK,Dera Ismail Khan Division,South Waziristan,Total Population,Urban,-,-,-
KPK,Dera Ismail Khan Division,Tank,Working Age Population,Rural,265000,145000,120000
KPK,Dera Ismail Khan Division,Tank,Working Age Population,Urban,30000,15000,14000
KPK,Dera Ismail Khan Division,Tank,Labour Force,Rural,93700,93300,400
KPK,Dera Ismail Khan Division,Tank,Labour Force,Urban,9700,8900,800
KPK,Dera Ismail Khan Division,Tank,Employed,Rural,90700,90300,400
KPK,Dera Ismail Khan Division,Tank,Employed,Urban,9100,8400,700
KPK,Dera Ismail Khan Division,Tank,Unemployed,Rural,3000,3000,-
KPK,Dera Ismail Khan Division,Tank,Unemployed,Urban,600,500,100
KPK,Dera Ismail Khan Division,Tank,Refined Participation Rate (%),Rural,35.3,64.3,0.3
KPK,Dera Ismail Khan Division,Tank,Refined Participation Rate (%),Urban,32.6,57.7,5.5
KPK,Dera Ismail Khan Division,Tank,Unemployment Rate (%),Rural,3.2,3.2,-
KPK,Dera Ismail Khan Division,Tank,Unemployment Rate (%),Urban,6.3,6,9.7
KPK,Dera Ismail Khan Division,Tank,Employment to Population Ratio (%),Rural,34.2,62.2,0.3
KPK,Dera Ismail Khan Division,Tank,Employment to Population Ratio (%),Urban,30.5,54.2,4.9
KPK,Dera Ismail Khan Division,Tank,Agriculture Employee (%),Rural,23.7,23.8,-
KPK,Dera Ismail Khan Division,Tank,Agriculture Employee (%),Urban,2.4,2.6,-
